reference,base_prediction
[UNK] ah masak makanan yang seimbang yang mana banyak sayur kurangkan gula dalam masakan [UNK] kurangkan garam lebihkan sayurlah, masak makanan yang seimbang banyak sayur kurangkan guli dan kurangkan garam lebihkan sayurah
hm, hmm
memang, were man were
masalah kesihatan ni kebanyakannya datang daripada makananlah bukan saja kurang bersenam, masak lakilaki saya tak ni kebanyakan je datang daripada makanan lah bukan saja kurang bersenam
bersenam kalau boleh tiga kali seminggu itu paling kuranglah kalau nak buat [UNK], bersenam kalau boleh 3 kali seminggu itu paling kuranglah kalau nak buat m3m
hm, hmm
ah saya rasa, saya datang ke
em itu saja kot tentang kesihatan ni jadi saya just nak cakap awak kena jagalah kesihatan awak dan [UNK] kalau boleh bagitahulah semua kawan-kawan awak ataupun saudara-mara awak tentang masalah ni, itu sahaja aku tentang kesiatan ni jadi saya just nak cakap awak kena jaga kesiatan awak dan kalau boleh beritahu semua kawankawan awak ataupun seriama awak tentang masalah ni
ha ah, haa
ah masalah, masalah
hm, hmm
okey, okey
oh terima kasih dah share benda ni kepada saya okey, terima kasih syeve dan nini
bye, bye
hai, bye
oh hai, oh hai
bet, ketika
cuti sekolah selalu aku tengok K drama K drama aku layan B T S, siti skola selalu aku tengok kedrama kedrama akul yang bts
aku layan K Pop, keren kappel
lepas tu aku kemas rumah, pasal kaki masumah
hm, hmm
ah ha, uhuh
ha, 
kalau aku, kalau aku
ha kalau macam, oh saya akan beritahu
er buat standard rumah, pukusan di rumah
macam biasalah aku pergi, masa biasa lah aku pergi
aku pergi rumah nenek aku, kalau kau pergi rumah nenek aku
rumah nenek aku dekat Mersing ada Bakar Batu ada, bagaimana aku dekat masa yang ada baka batu ada
macam-macam ada, masuk masuk masuk masuk
lepas tu, masuk
kalau tak pun, kalau tak pun
pergi bercuti, fikir betulbetul ting
aku pergi bercuti, bagaimana
dekat, dekat
pulau-pulau lah, pula pula pula
ha ada satu ni ada Pulau Babi, ada satu ini ada pulau babi
nama pulau tu memang pulau, saya mahu pulak tu saya mahu pulak
pulau, bulu
Pulau Babi tu dia dekat Johor, pulau bambi itu dekat johu
dekat Mersing lah, dekal masing
pulau dia nama dia Pulau Babi Besar, dia nama dia pulau babi besar
dekat Mersing, adakah merasing
kalau kau kau nak pergi mana, kalau kau kau nak jemput mana
hm tak pergi bercuti, tak pergi becuti
tak pergi bercuti ke, tak beri bercuti ke
um hm selalu kalau cuti jauh-jauh kau pergi mana, hmm saya akan pergi ke sana saya akan pergi ke sana
hm kalau kalau aku cuti lama, kalau aku cuci lama
aku lagi suggest kan pergi pantai, aku lagi sergaskan pergi pantai
cadang kalau aku pergi Melaka pergi lawat, kadang kalau aku pergi melaka pergi lawat
ha nenek ha atuk saudara aku dekat Melaka sana, dan ini atas darah kurika melakukannya
aku pergi pantai, aku pergi pantai
ha, hmm
ha ah juga lepas tu dekat, aduh juga pasal dekat
ha rumah atuk aku, rumah atuk aku
dekat, dekat
Klebang tu, klebang dulu
rumah dia rumah dia dekat situ lepas tu belakang tu kau jalan just jalan kaki je dah sampai pantai, rumah dia di sana lepas itu belakang jalan kaki saja sampai pantai
ha ah, uh uh
hm hm aku selalu balik sana memang, aku taruh balik sana memang
hitam lah, kita berbual
hm muka burn gila, mama muka bengkel lu
kalau kau, akan katakata
kalau, kalau
hm kalau hotel-hotel kau pernah pergi, kalau hotehote kau pernah pergi
contoh hotel yang kau pernah pergi, contoh terdekap berapa lagi
hm hm, okay
ah ah, uh uh
oh, aaaaah
kalau aku pun aku kan kalau pergi Melaka kan aku pergi ramai-ramai so memang sewa ho eh ah homestay lah homestay tu dekat-dekat dengan bandar lah, kalau aku pun kalau pergi melakukin tak pergi ramairamai jadi memang saya di homestaya homestaya itu dekatdekat dengan bandar lah
dia kalau homestay tu satu malam, dia akanlah homestate tu satu malam
setakat, suka
seratus seratus lima puluh macam gitu lah so selalu kita orang tidur seminggu, 100 150 masjid itu lah so saya nak kita rancang di spingku
seminggu dalam entahlah, seringkir dalam tarah
kalau kau, belum kau
er sewa, saya juga
kalau kau selalu, colokkan seluruh
kalau kau selalu, koloklah selamat tinggal
hm, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
satu malam kau kat sana berapa, satu malam kau kat sana berapa
oh mahal tak, oh makhanya tak
hm, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
ha selain Melaka, selain melaka
selain Melaka apa lagi, saya menakut apa lagi
tempat yang kau nak bercuti, tempat yang kau nak becuti
kenapa, kenapa
ah and then, dan
hm kalau kalau aku lah kan, kalau aku kan
aku teringin nak pergi Terengganu, aku terpaksa nak pergi terengganu
ha ah, uh uh
ah, ah
ha best lah dapat jumpa penyu, bezlah dapat jumpa penyum
lepas tu dapat jumpa Zizan, pasal dapat jumpa zizan
ha ah, uh uh
aku nak pegang penyu tu nak pegang baby penyu tu nak belai belai, aku nak pegang penyew tu nak pegang baby penyew tu nak belah belai
eh comel, ini jaman
kejap lah aku lupa kejap eh aku fikir, ucap lah aku lupa aku fikir
ha pantai, ah bantai
pantai, pantai
pantai, benda ibu
Teluk Ketapang, telur ketapa
hm tak pasti lah kat mana, hmmm tak pasti dah kat mana
hm sebab kan kita nak exam, hmm seperti kalau kita nak
biasalah [UNK], kau selalu pergipahli
banyak kekangan masa kan, nak kekangan masa kan
of course lah Korea, sudah tentu korea
aku nak pergi Korea sebab aku nak pergi Nami Island aku nak pergi tengok, aku nak pergi korea sebab aku nak pergi nami island aku nak pergi tengok
B T S, bts
aku teringin nak nak pergi jumpa B T S, aku terpikir nak pergi jumpa bts
ha ah, ah
musim salji lah, bukan saya selgila
sebab aku nak buat orang salji, sebab aku nak buat orang salji
aku, aku
kalau dengan kawan-kawan aku teringin nak pergi, kalau dengan kawankawan aku ingin nak pergi
ha shop shop B T twenty one, shope bt21
ha dekat Seoul Seoul Korea, saya ada di korea sejauh ini
lepas tu aku nak, bersitu aku nak
ha ah lepas tu aku nak pergi Purple Island, ah ah lepas itu aku nak pergi purple island
ah, ah
tak pasti lah aku tak pasti pulau apa, tak pastilah aku tak pasti pula apa
tapi setakat yang aku tahu, tapi setakat yang aku tahu
ha Purple Purple Island je lah Purple Island tu, pembuah ilin
ha dia punya pulau tu dia rumah tau rumah kat dekat pulau tu, dia punya pulau itu dia rumahrumah di pulau itu
dalam rumah tu adalah rumah kampung rumah tradisional Korea lepas tu dia punya rumah tu semua warna purple, rumah kampur rumah tradisional korea rasa dia punya rumah semua nipepel
sebab tu lah dia dapat nama Purple Island, sebab tu lah dia dapat nama purple island
ya ya ada, ya ya ada
ha dekat aku lupa lah nama tempat tu lepas tu dekat situ kau boleh bebas nak pakai baju tradisional gerai yang macam-macam tu, dekat aku lupa nama tempat dulu lepas itu kau boleh bebas nak pakai baju tradisional yang macammacam tu
baju dia baju di raja, bagi diri raja
ha ah, aduh
ha ah sewa sewa untuk satu hari je satu hari pun setengah hari je, saya untuk satu hari saja satu hari setengah hari saja
aku teringin nak pergi, aku teringin nak pergi
nak pergi Australia, nak pergi australia
ya aku nak jumpa Koala sekali, ya aku nak jumpa kola sekali
hm nak jumpa apa, hmm adjap apa
oh Disneyland, oh disney line
apa yang menarik sangat, apa yang menarik sangat
apa yang menarik sangat dengan Disneyland tu, apa yang menarik sangat dengan disneyland tu
ah, wah
kat lepas tu tempat lain yang aku nak pergi, ke lalu tempat lain yang nak pergi
aku nak pergi Afrika, aku nak pergi afrika
ha ah, aa
ah aku nak pergi tempat yang ada binatang bintang buas banyak banyak tu, aku nak pergi ke tempat yang ada pinatang lebih datang bos banyak
ada gajah ada harimau ada singa, ada gajah ada harimau ada singung
lepas tu ada [UNK] ada kuda ada macam macam lah aku teringin nak jumpa singa dengan harimau, lalu ada putih ada macammacam lah aku teringin nak jumpa singa ngarimang
ah ha oh Pahang Pahang aku [UNK] pernah pergi, oh bahagian
aku pergi air terjun dia best, aku pergi air terjun dulu baik
ah Pahang dekat, ah bahan dekat
Temerloh, toma lu
Cameron ah Cameron Highlands Cameron Highlands pun aku pernah pergi, ah camera hali camera hali apa aku pernah pergi
dekat Cameron Highlands tu ada rumah, dekat cameron highland tu ada rumah
nenek saudara aku, ini sedara aku
so kat situ [UNK] kita orang bebaslah nak pergi mana mana nak pergi, jadi kat situ kita orang bebaslah nak pergi ke manamana nak pergi
ah [UNK] ah ladang strawberi, ladaf deverie
lepas tu ah ladang, kemudian kemudian
ah, 
teh teh bung-bunga teh apa daun teh daun teh, t t bunga t apa daun t daun t
ladang teh erm ladang teh, lada nanti
ha ag dekat lepastu dia punya dia punya halaman rumah pun, ah dekat basuh dia punya halaman rumah pun
ah ada banyak sayur sayur, ada banyak sayur sayur
macam kat situ dia punya udara segarlah lepastu sejuk, macam di situ dia punya udara segar lah pasal sejuk
ya, ya
ma kalau malam, kalau malam
malam tak payah buka kipas pun dah rasa sejuk, malam tak payah buka kipas pun dah rasa sejuk
ha ah, uh oh
aku cadangkan kau pergi, aku cadangkan kau pergi
ha ah ah, hmm
Sabah, sabar
Sabah ataupun Sarawak, sabaat apa serawak
ya ah ada sungai buaya, ya ada suang abu ayu
ada banyak buaya kat situ, ada banyak baju di situ
sebabkan kat Sabah tu, sebab kenapa tu
ah, uhh
ada macam macam ben, ada macammacam benda
benda lah dia macam, terpengalaman dia lah
ada rumah panjang, ada rumor banjang
and don, dan tuan
dapat menarik kenapa ada apa kat sana, tepat menarik kenapa ada apa di sana
ha ah, hmm
macam tu ada, contohnya
Surabaya bukan ah kampung Freddy ke, surabaya bukan kampung freddy
ah so, alasuh
tempat, tepat
Surabaya je, surabaya j
kat Jakarta Jakarta kan ada, jakatah jakatah kan ada
ah K tempat tempat lain yang aku boleh pergi kat mana, okey tepattepat lainnya aku boleh pergi kat mana
dalam Malaysia ah, dalam resia
Perak, baiklah
kenapa kenapa kau suggestkan aku nak pergi Perak, kenapa kau sakasaka nak pergi periksa
erm dia macam lagi luas lah kan, hmm dia macam lagi luaslah kan
macam Zoo Negara juga lah kan, macam zuna gara juga lah kan
erm, ihhh
lepastu tempat lain tempat lain, masuklah tolong balain
em, hmm
kalau aku kalau kat luar negara lah, telah aku kalah kat lu negara
aku suggestkan kau pergi Paris, aku sakasaka kau pergi paris
kota romantik, kau terlalu mentih
ya romantik kalau kau pergi sana kau kena kahwin dulu lah, ya romantik kalau kau pergi sana kau kena kahwin dulu lah
kalau kau pergi kalau kau pergi seorang-seorang rasa macam lonely lonely betul, kalau kau pergi kalau kau pergi sorang sorang rasa macam loni betul
ha ah dengan kawan kan satu kepala, dengan kawan kan satu kepala
ah weh dah lah ah aku nak pergi dulu bye, adalah aku nak pergi dulu bye
hai, hai
Ina buat apa tu, nampak apa tu
oh Ina, oh enak
kau tahu tak yang dekat Malaysia ni sebenarnya ada macam-macam budaya dekat Malaysia ni, kau tahu tak yang dekat malaysia ni sebenarnya ada macammacam budaya dekat malaysia ni
contohnya macam Melayu, jangan tanya macam laju
budaya, buktiah yus
orang Melayu budaya orang Cina budaya orang India, saya tidak boleh beritahu orangorang saya dan orangorang saya
so jadinya, su jadinya
budaya orang Melayu ni, budaya orang layu ni
orang Melayu ni menyumbang lebih separuh penduduk Malaysia, orang melayu ini menumbang lebih separuh penduduk malaysia
dekat Malaysia ni memang ramai orang Melayu la daripada, di malaysia ramai orang melayu daripada
ha, 
daripada kaum-kaum lain, di beritahuntahun lain
jadi orang Melayu ni memainkan peranan dominan secara politik, jadi orang melayu ini memainkan peranan dominan secara politik
dan dimasukkan ke dalam kumpulan yang dikenal, dan dimasukkan ke dalam kumpulan yang dikenal
pasti sebagai bumiputera, pasti sepakai bumi putra
ba-bahasa bahasa ibunda, masak
ha orang Melayu ialah Bahasa Melayu, orang melayu adalah bahasa melayu
adalah ba-Bahasa Melayu ni adalah bahasa kebangsaan dekat Malaysia, adalah bahasa nayu ini adalah bahasa kebangsaan dekat nishil
dengan dengan definisi per-perlembagaan Malaysia semua orang Melayu adalah orang islam, dengan definisi perlumbang emlasia semua orang melayu adalah orang islam
orang asal penduduk terawal Ma-Malaysia membentuk hanya, orang asal penduduk terawal malaysia membentuk hanya
kosong point lima pera-peratus daripada jumlah penduduk di Malaysia, 05 daripada jumlah penduduk di malaysia
dan pada tahun dua ribu, dan pada tahun 2000
masa tu kita tak kita tak lahir lagi lah em em, masih itu kirakira kirakira lahiliklah
tetapi, tapi
ha majoriti yang mewakili ha mewakili di ha Malaysia timur, mejoriti ibu melaise timur
iaitu di Sarawak kebanyakan kumpulan orang bukan islam diklasifikasikan sebagai Orang Dayak, iaitu disrawak kebanyakan kumpulan orang bukan islam diklasifikasikan sebagai orang dayak
ha so ada budaya kalau ada dekat Sarawak tu ada budaya Dayak, kalau dekat serawak ada budaya daya
dan mereka membentuk kira-kira empah puluh peratus penduduk di negara ini, dan mereka membentuk kirakira 40 penduduk leningeri ini
ramai suku telah memeluk agama Islam eh agama Kristian, ramai suku telah memeluk agama islam agama christian
seribu eh, 1000 eh
seratus empat puluh ribu orang asli terdiri daripada beberapa komuniti, 140000 orang asli terdiri daripada beberapa komunitik
et-etnik yang berbeza di Semenanjung Malaysia, di atnik yang berbeza di semenanjung malaysia
kalau macam orang Cina ni, kalau orang cinta ini
dia telah menetap di Malaysia selama berabad-abad dan membentuk kumpulan etnik kedua terbesar, dia telah menetap di malaysia selama berapetapet dan membuat kumpulan etnik kedua betar besar
orang Cina pertama yang menetap di Malaysia di di negeri-negeri selat terutamanya di dalam dan di sekitar Melaka, orang cina pertama yang menetap di malaysia di negerinegeri selatan utamanya di dalam dan di sekitar melaka
secara beransur-ansur menerima unsur-unsur budaya Malaysia dan berkahwin dengan masyarakat Malaysia, secara berangsuangsu menerima unsurunsur budaya malaysia dan berkahwin dengan masyarakat malaysia
dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul, dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul
muncul Peranakan orang-orang Cina telah meng, muncul beranakan orang orang singkat telah mengak
mengadaptasi tradisi Melayu sambil mengekalkan unsur-unsur budaya Cina seperti, mengaduk tasi tradisi layu sambil mengakalkan unsuunsu budaya cina seperti
ha agama Buddha agama, agama budak agama
tau, dao
Taoisme, tau smith
yang sebahagian besarnya yang sebahagian besarnya, yang sebahagian besar
pelbagai, mulai ke
kepelbagaian Cina yang lebih biasa yang diturut dituturkan di Semenanjung Malaysia adalah, keperbaikan cina yang lebih biasa yang dituturkan di semenanjum malaysia adalah
Kantonis Mandarin, kan tonis mandarin
Hokkien Hakka Hainan, hokain hakka ainan
dan Fuzhou, kemudian puzo
kalau macam masyarakat India pula, kalau macam masyarakat india pula
em di Malaysia adalah yang terkecil masyarakat in- India dekat Malaysia ni, di malaysia adalah masyarakat yang terkecil di indonesia
dia macam tak ramai sangat la dia ada tiga kumpulan etnik, dia macam tak ramai sangatlah dia ada 3 kumpulan etnik
utama yang menyumbang kira-kira sepuluh peratus daripada penduduk negara ini, yang menyumbang kirakira 10 daripada penduduk negara ini
mereka bercakap pelbagai bahasa Asia Selatan, mereka bercakap berbagai bahasa asia selatan
Tamil Malayali dan orang, dan orang
telugu membentuk lebih daripada lapan puluh lima peratus daripada penduduk asal India di ne- negara ini, telugu membentuk lebih dari 85 daripada penduduk asal india di negara ini
pendatang India ke Malaysia membawa mereka budaya Hindu dan Sikh, mendatang india ke malaysia membawa mereka budaya hindu dan sikh
ini, ini
termasuk, termasuk
termasuk kuil-kuil dan Gurdha, termasuk kwell kwell dan gul dek
Gurd-Gurdwara, guru waja
masakan dan pakaian tradisi Hindu tetap kuat di Malaysia India di masyarakat India Malaysia, masakan dan pakaian tradisi hinduh tetap kuat di masyarakat india malaysia
masyarakat India yang mengamalkan amalan budaya Melayu yang yang wujud di Melaka walaupun mereka tu, masyarakat india yang mengawalkan amalan budaya melayu yang wujud di belakang
tetap Hindu, hidup
bercakap bahasa Melayu dan berpakaian dan bertindak sebagai orang Melayu, bercakap bahasa melayu dan berpakain dan bertindak sebagai orang melayu
kalau macam kau pula kau tahu, kalau macam kau pula kau tahu
hm apa lagi tentang, apa lagi tentang
budaya ni, budaya ini
oh ni untuk masyarakat Melayu lah, oh ini untuk masyarakat melayu lah
hm, hmm
hm, hmm
kalau pakaian orang India ke orang Cina ke macam mana pula, kepalau pakaian orang india ke orang singapore ke macam mana pula
kalau macam aku pula aku, kalau macam aku bila aku
aku minat tapi aku tak pandai, aku minat tapi aku tak pandai
ah minat ah da-dalam, mene dalam
bidang seni iaitu joget ah macam menari macam kalau orang Melayu orang Melayu dia ada, bidang seni yaitu joget macam menari macam orang melayu orang melayu dah ada
ah joget Melayu ke Zapin ke kan Kuda Kepang ke, jokit layu juga japainya kutgepangnya
so, su
erm, hmm
kalau macam orang Cina pula dia ada Tarian Kipas, kalau macam orang sinu pelak dia ada tarian kipas
dia ada ada Tarian Naga kalau orang India dia ada tarian, ada tarian agar kalau orang india ada tarian
tarian, tarian
selain daripada Zapin, selain berdapat
yang aku tahu, aku tahu
ada Tarian Kuda Kepang, adil tarian kurigipang
Kuda Kepang ni pendatang-pendatang Jawa, kudekipang ini pendatangpendatang jauh
dia daripada Jawa dia bawa ke Johor, daripada jauh di bawah kejuhu
dan merupakan satu bentuk tarian di mana, dan merupakan satu bentuk tarian di mana
penari-penari duduk di atas kuda, benaribenari duduk di atas kuda
mengejek dan menceritakan kisah perang Islam, mengijik dan menceritakan kisah perang islam
so dia ceritakan pasal pasal perang Islam la masyarakat Cina membawa Tarian Cina, so dia ceritakan pasal perang islam lah masyarakat china membawa tarian singet
kalau masyarakat Cina pula dia mem-membawa tarian singa tradisional dan tarian naga bersama-sama mereka sementara kaum India membawa bentuk-bentuk seni seperti, kalau masyarakat cingduplak dia mahu membawa tarian singa tradisional dan tarian agar bersamasama mereka sementara kaum india membawa bentukbentuk seni seperti
Baratha, barat
Nat-Nat-Nat-Natyam dan Bangra, nyet nyet nyet yang dan bang gra
kolonia-kolonialisme juga membawa bentuk seni yang lain seperti fara fira dan ranca Portugis, kolonia lisme juga membawa bentuk seni yang lain seperti farah pirah dan brancar portugis
terdapat pelbagai tarian tradisional yang sering mempunyai kepentingan yang rohani sangat kuat, terdapat berbagai talian tradisional yang sering mempunyai kepentingan rohani yang sangat kuat
sebilangan kaum sebilangan suku dari Malaysia barat dan timur mempunyai tarian yang berbeza, sebilangan suku dari malaysia barat dan timur mempunyai tarian yang berbeza
macam macam macam, samasama
so kat Malaysia ni macam-macam la tarian, so kat malaysia macammacam latarian
kalau dari segi muzik, kalau dari suki musi
muzik, muzi
muzik [UNK] ah budaya mana yang kau suka, muizzi budaya mana yang kesuka
Melayu ke India ke Cina ke, lai yuk injak cingyuku
oh ya la perempuan kan, oh ini adalah perubahan
kalau daripada lagu kau suka lagu lagu daripada macam, kalau daripada lagu kau suka lagulagu daripada
lagu bangsa mana macam kalau lagu Melayu kan dia ada lenggok dia macam, lagu banget semua kalau lagu melayu kan ada di lingkung
macam ada macam lengguk lah, macam aitian macam lingguk lah
ada macam best sikit lah kalau, ada macam bestkit lah kalau
India, india
ah so kau suka, ah soka usuk
lagu orang mana, lagu orangnya
budaya mana, bura ibu
bangsa mana, awang suana
hm, hmm
kau tau tak sebenarnya seni, kau tak tersidak ni
dan seni persembahan tradisional Melayu muncul di rantau Kelantan Pattani, dan seni pesembahan tradisional melayu muncul di rantau kelantan patani
dengan pengaruh dari India China dan Thailand, dengan pengaruh dari india china dan thailand
Thailand dan Indonesia, dalilin dan indonesia
muzik berasaskan instrument berkerusi, musik beraseskan instrumen perkusi
ah yang paling penting ialah gendang, yang paling penting adalah gendang
ah so semua kaum dia, sos mu kawam di
dia ada gunakan gendang untuk, dia ada gunakan kendang untuk
ah buat muzik atau pun untuk menyanyi ke menari ke, buat muzik ataupun untuk menyanyi ke menarik ke
so terdapat sekurang-ku-* sekurang-kurangnya empat belas jenis gendang tradisional, so terdapat sekurangkurangnya 14 cennies kendang tradisional
gendang dan alat perkusi tradisional yang lain sering dibuat dari bahan semulajadi seperti cangkang, gendang dan alat berkuri tradisional yang lain sering dibuat dari bahan semula jadi seperti cangkang
instrumen lain yang lain termasuk rebab, instrum lain yang lain termasuk rubak
serunai seruling dan sengkakala, serunai seruling dan senkak kalah
muzik secara tradisinya digunakan untuk bercerita raikan acara kitaran ha-hayat, musik secara tradisinya digunakan untuk bercerita merakikan acara kitaran hayat
dan pada acara tahunan seperti musim menuai, dan pada acara tahunan seperti musim menuai
muzik pernah digunakan sebagai satu bentuk komunikasi jarak jauh, muji pernah digunakan sebagai satu bentuk komunikasi jarak jauh
orkestra tradisional boleh dibahagikan antara dua bentuk gamelan yang memainkan melodi menggunakan gong, orkestra tradisional boleh dibahagikan antara dua bentuk gamelan yang memainkan melodi menggunakan gung
dan instrumen tali, dan instrument pali
dan nobat yang menggunakan instrumen angin untuk membuat muzik yang lebih serius, dan nombat yang menggunakan instrument angin untuk membuat musik yang lebih serius
kalau dekat Malaysia ni kat ah, kalau di malaysia ni keadaan
belah timur, latihan
kumpulan, kumpulan
berkumpulan berasaskan gong seperti agong dan kulintang, perkumpulan berasaskan gung seperti agung dan kulin tang
biasanya digunakan dalam upacara seperti pengebumian dan majlis perkahwinan, biasanya digunakan dalam upacara seperti pengembumian dan majlis perkahwinan
so, sulu
biasanya dekat, biasanya dekat
selatan Filipina Kalimantan, selatan filipina kalimantan
di Indonesia dan di Malaysia Brunei biasanya guna guna gong ni, di indonesia dan di malaysia brunei
kalau tengok persembahan aku tak pernah lah tapi kalau tengok muzium muzium tu pernah, kalau tengok pesimpin aku tak pernah lah tapi kalau tengok mujimujiung tu pernah
kau pernah ke, kau pun naga
oh lawatan sekolah pun ada eh, oh lewat otak sekolah pun ada ya
dekat muzium tu dia tunjuk apa dia pamerkan apa, ya kemuzim itu dia tunjuk apa dia ada pami kenapa
oh, oh
oh karya dia lah macam, o karya dilah macam
dia bagitahu sejarah asal [UNK] asal asal benda tu daripada mana macam mana dia buat eh macam tu, dibagi tahu sejarah asal benda daripada mana macam mana dibuat dan macam itu
oh, hmm
hm hm, mmmm
oh, hmm
lama, ramu
hm ah kau tau tak best nya ah ada macam-macam budaya ni, aku tak bebas ni ada macammacam budaya ni
dekat Malaysia ni best sebab, di malaysia ini berbaik sebab
kalau macam cuti kita [UNK], kalau macam cuti kita macam
kalau ada cuti perayaan Tahun Baru Cina ke ah, kalau ada cipri dan tamu rujinak ke
cuti, tidiii
Deepavali ke cuti, tipe balik ke citi
Hari Raya Aidilfitri ke Adha ke apa-apa, haya raya ideal p3 ke adah ke apaapa
semua semua orang boleh cuti so macam best lah kita macam ada [UNK] banyak cuti, semua orang boleh cuci macam benslah kita ada banyak cuci
contoh macam Hari Merdeka ke, juntuh macam harimut dekak
kita, kita
ataupun, atau
em em, mmmm
tu eh cuti-cuti kita boleh pergi balik kampung, kita boleh pergi baik kampung
kalau macam orang Sarawak pula dia ada cuti Gawai, kalau macam orang serawak pelak dia ada cuti gawai
Kaamatan, kamu mati
Kaamatan dekat Sabah kalau Gawai dekat Sarawak, kamatan dekat sabar kalo gawai dekat straw walk
kalau macam, kalo macam
Deepavali dia orang biasa kalau macam orang Melayu dia, dipak bali orang biasa kalau macam orang melayu dia
kalau dia nak berkumpul dia berkumpul dekat masjid ke kan dia sembahyang kat masjid, kalau dia nak berkumpul dia berkumpul di masjid kan dia semayang di masjid
kalau orang Cina pula, kalau orang sini pula
dia, dew
[UNK] Cina ah ah betul, makanan saya api
orang India pula, orang india pula
dia, diul
pergi sembahyang ataupun dia pergi jumpa ahli keluarga semua dekat Batu Caves, pergi semua yang ataupun dia pergi jumpa ahli keluarga semua dekat batu kif
dekat dekat K L tu ataupun ada yang kalau yang duduk dekat, dekat kl ataupun ada yang duduk dekat
negeri lain ke apa dia orang duk jumpa dekat, negeri lain kapu orang jumpa dekat
gereja-gereja ke dekat, krijikri jugur
kuil ke, kuil ke
kan, terima kasih
so itu je lah yang aku boleh kongsikan dengan engkau, so itulah yang aku boleh kongsikan dengan kau
hm okey, okay
so, so
ah, aam
bye bye Ina, baiklah
okey bye, bye
ah ah Wa- Waalaikumsalam ah aku Helmi Zef ada apa call aku, assalamualaikum warahmatullahi wabarakatuh aku en mee saya ada apa kola gue
pasal sukan ek, teruskan ke ne
ah tak adalah tahu sangat tapi adalah belajar kat sekolah sikit-sikit pasal sukan ni, tak adalah tak usah sangat tapi adalah belajar kat sekolah sikitsikit bersasukkan ni
kenapa ya dengan sukan, kenapa ini yang suka
apa apa ya nak tanya ya pasal sukan, apa yang nak tanya yang anda suka
sukan sukan ah adalah sukan yang dia dia ada dua ni tau ada dua kategori macam satu aktiviti fizikal um menunjukkan, sukan ada dua kategori satu aktivitif zika
pelbagai ah ni ah pelbagai tujuan sebagai contoh pertandingan keseronokkan, perbagai tunjuan sebagai contoh pertandingan keserunutkan
pembangunan, pobangunan
kemahiran kecemerlangan dan sebagainya ah, kemahiran kecemelangan dan sebagainya
tak tak dengar dulu perbezaan ah tujuannya membezakan sifat [UNK] satu sukan itu, tak tak dengar lu perbezaan tejuannya berbeza kasih fight suatu sekian itu
okay apa tu soalannya, okey apa itu soalannya
oh sukan sukan yang saya minat eh sukan yang saya minat dari kecil lah, oh suka yang saya minat ya suka yang saya minat dari kecil lah
ah adalah bola sepak, ini adalah bulan sepa
sebab, well
dulu ah saya gemuklah, tulu saya gemuklah
ah pastu susahlah nak sukan ni sebab tu sekarang ah saya, betul susah nak suka ni
dah, dah
dah ni sikit bolehlah bermula main bola tapi saya memang minat sukanlah tapi tak pro sangatlah main tak macam tak hebat sangat main bola ni tapi ah saya minatlah pasal sukan pasal sukan bola sepak ni sebagai contoh ah aku, dan ni sikit bolehlah bermula tapi saya memang nak suka nak tapi tak perlu sangat laman tak hebat sangat bermula ni tapi saya minat nak faham sedukkan sebab saya suka mulai sepanh sebagai contoh aku
aku minat ah Ronaldo ah, aku minat arna dua
Ronaldo ni macam, rudah dunia macam
[UNK] kenal tak Ronaldo, tak kenal nak runaidu
Ronaldo ni macam bagi akulah dia macam satu player satu pemain ni yang dia grow up daripada bawah tau dari dari bawah lepas tu macam, radoan ini macam bagi aku lah dia macam satu player satu pemain ni yang the group up daripada bawah lah garib daripada bawah
contohlah dia, jontoh lagi
ah dari kecik dia tak ada apa-apalah macam miskin gila lepas tu ah dari sekolah tulah dia jadi wakil ah apa bola sepak lepas tu sampai ke dewasa tu ada orang tarik dia then ah daripada Manchester City lah dia macam, dan dari kecil dia tak ada apaapa macam miskin gila lepas itu dari sekolah dia jadi wakil bola sepak lepas itu sampai ke dewasa tu ada orang tarik dia dan daripada masyarakat dia macam
ah dia macam nama dia naiklah sebab, dia macam nama dia naik lah sebab
sebab dia menang, sebab dia menang
apa ni macam satu pertandingan yang besarlah kat ah [UNK] ah kat negara luar tu sebab tu aku minat dia, apa ni macam satu petering yang besar kat negara luar tu sebatu apa minat dia
