reference,whisper_small_prediction,whisper_large_v3_prediction,whisper_small_process_time,whisper_large_v3_process_time
kalau dengan kawan-kawan aku teringin nak pergi,kalau dengan kawan-kawan aku teringin nak pergi,kalau dengan kawan-kawan aku teringat nak pergi,1.9255540370941162,4.930502414703369
ha shop shop B T twenty one,ah shop shop B T twenty one,ah shop shop BT21,1.2286200523376465,1.8268046379089355
ha dekat Seoul Seoul Korea,ha dekat Seoul Seoul Korea,ah dekat Seoul Seoul Korea,1.002969741821289,1.999708652496338
lepas tu aku nak,lepas tu aku nak,lepas tu aku nak,0.8827431201934814,1.7736692428588867
ha ah lepas tu aku nak pergi Purple Island,ha ah lepas tu aku nak pergi Purple Island,ah ah lepas tu aku nak pergi Purple Island,1.4571247100830078,3.99038028717041
ah,ah,ah,0.46344590187072754,0.9387598037719727
tak pasti lah aku tak pasti pulau apa,tak pasti lah aku tak pasti pulau apa,tak pastilah aku tak pasti pulau apa,1.3240580558776855,2.6634023189544678
tapi setakat yang aku tahu,tapi setakat yang aku tahu,tapi setakat yang aku tahu,1.1291828155517578,2.2753968238830566
ha Purple Purple Island je lah Purple Island tu,ha Purple Purple Island je lah Purple Island tu,ah Purple Purple Island je lah Purple Island tu,1.5121638774871826,3.7203891277313232
ha dia punya pulau tu dia rumah tau rumah kat dekat pulau tu,ha dia punya pulau tu dia rumah tau rumah kat dekat pulau tu,ha dia punya pulau tu dia rumah rumah kat kat pulau tu,2.245330810546875,3.8109307289123535
dalam rumah tu adalah rumah kampung rumah tradisional Korea lepas tu dia punya rumah tu semua warna purple,dalam rumah tu adalah rumah kampung rumah tradisional Korea lepas tu dia punya rumah tu semua warna purple,ah rumah macam rumah kampung rumah traditional Korea so dia punya rumah tu semua warna purple,3.1459810733795166,5.866093873977661
sebab tu lah dia dapat nama Purple Island,sebab tu lah dia dapat nama Purple Island,sebab tu lah dia dapat nama Purple Island,1.5136785507202148,2.8806004524230957
ya ya ada,ya ya ada,ya ya ada,0.66542649269104,1.3747339248657227
ha dekat aku lupa lah nama tempat tu lepas tu dekat situ kau boleh bebas nak pakai baju tradisional gerai yang macam-macam tu,ha dekat aku lupa lah nama tempat tu lepas tu dekat situ kau boleh bebas nak pakai baju tradisional duran yang macam-macam tu,ah dekat aku lupa lah nama tempat tu lepas tu kat situ kau boleh bebas nak pakai baju tradisional jualan yang macam-macam tu,5.548981666564941,9.02977466583252
baju dia baju di raja,baju dia baju di raja,baju dia baju dia raja,1.2531850337982178,3.261798143386841
ha ah,ha ah,ah ah,0.8186659812927246,1.1881053447723389
ha ah sewa sewa untuk satu hari je satu hari pun setengah hari je,ha ah sewa sewa untuk satu hari je satu hari pun setengah hari je,ah ah sewa sewa untuk satu hari je satu hari pun setengah hari je,2.4027185440063477,4.657075881958008
aku teringin nak pergi,aku teringin nak pergi,aku teringat nak pergi,1.0352959632873535,2.5170633792877197
nak pergi Australia,nak pergi Australia,nak pergi Australia,0.9501204490661621,1.6878859996795654
ya aku nak jumpa Koala sekali,ya aku nak jumpa Kola sekali,ya aku nak jumpa kola sekali,1.2135875225067139,2.4382309913635254
hm nak jumpa apa,hm nak jumpa apa,hmm ah je apa,0.8878436088562012,1.5561754703521729
oh Disneyland,oh Disneyland,oh Disneyland,0.547020435333252,1.1471600532531738
apa yang menarik sangat,apa yang menarik sangat,apa yang menarik sangat,0.9772322177886963,2.5362017154693604
apa yang menarik sangat dengan Disneyland tu,apa yang menarik sangat dengan Disneyland tu,apa yang menarik sangat dengan Disneyland tu,1.958289384841919,2.6883127689361572
ah,ah,ah,0.4531886577606201,0.9211845397949219
kat lepas tu tempat lain yang aku nak pergi,kat lepas tu tempat lain yang aku nak pergi,kalau lepas tu tempat lain yang aku nak pergi,1.5437188148498535,3.295290946960449
aku nak pergi Afrika,aku nak pergi Afrika,aku nak pergi Afrika,0.8925356864929199,2.36921763420105
ha ah,ah ah,ah ah,0.7942874431610107,1.4962983131408691
ah aku nak pergi tempat yang ada binatang bintang buas banyak banyak tu,ha aku nak pergi tempat yang ada binatang bintang buas banyak banyak tu,ha aku nak pergi tempat yang ada penatang berdatang bos banyak-banyak tu,2.5004820823669434,5.072268009185791
ada gajah ada harimau ada singa,ada gajah ada harimau ada singa,ada gajah ada harimau ada singa,1.603043794631958,4.227265357971191
lepas tu ada [UNK] ada kuda ada macam macam lah aku teringin nak jumpa singa dengan harimau,lepas tu ada bu-ada kuda ada macam macam lah aku teringin nak jumpa singa dengan harimau,pas tu ada pu ada kuda ada macam-macam lah aku teringin nak jumpa singa dengan harimau,3.517082691192627,6.473032474517822
ah ha oh Pahang Pahang aku [UNK] pernah pergi,pahang oh Pahang Pahang aku dah pernah pergi,pahang oh pahang pahang aku pernah pergi,2.461219549179077,4.264352798461914
aku pergi air terjun dia best,aku pergi air terjun dia best,aku pergi air terjun dia best,1.1383564472198486,2.274595260620117
ah Pahang dekat,ah Pahang dekat,ah faham dekat,1.0067551136016846,2.0195512771606445
Temerloh,tomelo,tuan melu,0.6476967334747314,1.8593215942382812
Cameron ah Cameron Highlands Cameron Highlands pun aku pernah pergi,Cambron ah Cameron Highlands Cameron Highlands pun aku pernah pergi,kamera ah kamera halal kamera halal apa apa aku pernah pergi,2.691520929336548,3.957894802093506
dekat Cameron Highlands tu ada rumah,dekat Cameron Highlands tu ada rumah,dekat Cameron Highland tu ada rumah,1.3553097248077393,2.6667628288269043
nenek saudara aku,nenek saudara aku,anak saudara aku,0.9029715061187744,1.8019192218780518
so kat situ [UNK] kita orang bebaslah nak pergi mana mana nak pergi,so kat situ kot kita orang bebaslah nak pergi mana mana nak pergi,so kat situ kor kita orang bebas lah nak pergi mana-mana nak pergi,2.760587215423584,4.557127237319946
ah [UNK] ah ladang strawberi,ah stop ah Ladang Stopberry,ah stok ah ladang strawberry,1.1357896327972412,2.2583086490631104
lepas tu ah ladang,lepas tu ah ladang,lepas tu ah ladang,0.99367356300354,2.0267505645751953
ah,ah,ah,0.5474116802215576,1.1599650382995605
teh teh bung-bunga teh apa daun teh daun teh,teh teh bung-bunga teh apa daun teh daun teh,teh teh bunga bunga teh apa daun teh daun teh,2.679154634475708,3.988369941711426
ladang teh erm ladang teh,ladang teh hm ladang teh,ladang teh hmm ladang teh,1.1311373710632324,2.215179204940796
ha ag dekat lepastu dia punya dia punya halaman rumah pun,ha ah dekat lepas tu dia punya dia punya halaman rumah pun,ah dekat lepas tu dia punya dia punya halaman rumah pun,2.063072919845581,4.812180995941162
ah ada banyak sayur sayur,ha ada banyak sayur sayur,ha ada banyak sayur-sayur,1.142695665359497,2.44911527633667
macam kat situ dia punya udara segarlah lepastu sejuk,macam kat situ dia punya udara segar lah lepas tu sejuk,macam kat situ dia punya udara segar lah lepas tu sejuk,2.140134334564209,4.713167905807495
ya,ya,ya,0.5956401824951172,1.306631326675415
ma kalau malam,ma kalau malam,mak kalau malam,0.9805312156677246,1.5760931968688965
malam tak payah buka kipas pun dah rasa sejuk,malam tak payah buka kipas pun dah rasa sejuk,malam tak payah buka kipas pun dah rasa sejuk,2.0076229572296143,4.021565675735474
ha ah,ha ah,ah ah,0.5699129104614258,1.1374943256378174
aku cadangkan kau pergi,aku cadangkan kau pergi,aku cadangkan kau pergi,1.2269032001495361,2.8263802528381348
ha ah ah,ah ah,ah,0.7816576957702637,0.95050048828125
Sabah,Sabah,sabah,0.5381059646606445,1.3512983322143555
Sabah ataupun Sarawak,Sabah ataupun Sarawak,sabar ataupun Sarawak,1.0803523063659668,2.436330795288086
ya ah ada sungai buaya,ya ah ada sungai buaya,ya ah ada sungai buaya,1.1458489894866943,2.237766742706299
ada banyak buaya kat situ,ada banyak buaya kat situ,ada banyak buah je kat situ,1.316582441329956,3.1989405155181885
sebabkan kat Sabah tu,sebabkan kat Sabah tu,sebabkan kat Sabah tu,1.1472797393798828,2.233452320098877
ah,ah,ah,0.45021843910217285,0.9478206634521484
ada macam macam ben,ada macam macam,ada macam-macam pun,0.6437954902648926,2.0082995891571045
benda lah dia macam,benda lah dia macam,benda lah dia macam,0.8939676284790039,1.8704826831817627
ada rumah panjang,ada rumah panjang,ada rumah panjang,1.0130488872528076,2.204005718231201
and don,en don,and don't,0.7738356590270996,1.4328539371490479
dapat menarik kenapa ada apa kat sana,dapat menarik kenapa ada apa kat sana,tempat menarik kenapa ada apa kat sana,1.5852901935577393,3.0856709480285645
ha ah,ah,ah,0.44193458557128906,0.9443502426147461
macam tu ada,contoh ada,contoh dia,0.6565966606140137,1.3629133701324463
Surabaya bukan ah kampung Freddy ke,Surabaya bukan ah kampung Freddy ke,surabaya bukan ah kampung Freddie ke,1.5868260860443115,3.4942452907562256
ah so,asuh,ah so,0.566096305847168,1.1516785621643066
tempat,tebat,tempat,0.5378434658050537,1.1396136283874512
Surabaya je,Surabaya je,Surabaya je,0.7563560009002686,1.570084571838379
kat Jakarta Jakarta kan ada,kat Jakarta Jakarta kan ada,kat Jakarta Jakarta kan ada,1.1041970252990723,2.2029805183410645
ah K tempat tempat lain yang aku boleh pergi kat mana,ah K tempat tempat lain yang aku boleh pergi kat mana,okay tempat tempat lain aku boleh pergi kat mana,2.395373582839966,3.572486400604248
dalam Malaysia ah,dalam Malaysia lah,dalam Malaysia lah,0.794161319732666,1.6086876392364502
Perak,dia lah,bera,0.6464765071868896,1.1334187984466553
kenapa kenapa kau suggestkan aku nak pergi Perak,kenapa kenapa kau suggestkan aku nak pergi Perak,kenapa kenapa kau senggeskan aku nak pergi Perak,1.6659581661224365,4.434158802032471
erm dia macam lagi luas lah kan,hm dia macam lagi luas lah kan,hmm dia macam lagi luas lah kan,1.6908655166625977,2.4889543056488037
macam Zoo Negara juga lah kan,macam Zoo Negara juga lah kan,macam zone negara jugalah kan,1.2197902202606201,2.441917896270752
erm,eh,em,0.4400031566619873,0.9132792949676514
lepastu tempat lain tempat lain,lepas tu tempat lain tempat lain,ah so tempat lain tempat lain,1.319962739944458,3.048778772354126
em,hm,em,0.6445157527923584,1.3194055557250977
kalau aku kalau kat luar negara lah,kalau aku kalau kat luar negara lah,dalam aku kalau kat luar negara lah,1.4638259410858154,2.8856613636016846
aku suggestkan kau pergi Paris,aku suggestkan kau pergi Paris,aku sengkaukan kau pergi Paris,1.0294785499572754,2.672879457473755
kota romantik,kota romantik,kota romantik,0.9028606414794922,2.0606205463409424
ya romantik kalau kau pergi sana kau kena kahwin dulu lah,ya romantik kalau kau pergi sana kau kena kahwin dulu lah,ya romantik kalau kau pergi sana kau kena kahwin dulu lah,2.872575283050537,4.097841262817383
kalau kau pergi kalau kau pergi seorang-seorang rasa macam lonely lonely betul,kalau kau pergi kalau kau pergi seorang-seorang rasa macam lonely lonely betul,kalau kau pergi kalau kau pergi sorang-sorang rasa macam Lonely Lonely betul,2.459646701812744,5.642928838729858
ha ah dengan kawan kan satu kepala,ha ah dengan kawan kan satu kepala,ah dengan kawan kau satu kepala,1.9780750274658203,2.519761562347412
ah weh dah lah ah aku nak pergi dulu bye,ha weh dah lah ah aku nak pergi dulu bye,ah weh dah lah ah aku nak pergi dulu bye,1.5804054737091064,3.0865113735198975
hai,hai,hai,0.46274900436401367,0.937098503112793
Ina buat apa tu,Ina buat apa tu,nah buat apa tu,0.8848392963409424,1.839461326599121
oh Ina,oh Ina,oh enak,0.8621127605438232,1.9385995864868164
kau tahu tak yang dekat Malaysia ni sebenarnya ada macam-macam budaya dekat Malaysia ni,kau tahu tak yang dekat Malaysia ni sebenarnya ada macam-macam budaya dekat Malaysia ni,kau tahu tak yang dekat Malaysia ni sebenarnya ada macam-macam budaya dekat Malaysia ni,2.9031460285186768,5.6128880977630615
contohnya macam Melayu,contohnya macam Melayu,contohnya macam Melayu,1.1507973670959473,2.9183409214019775
budaya,perdaya,berdaya,0.957500696182251,1.6074295043945312
orang Melayu budaya orang Cina budaya orang India,orang Melayu budaya orang Cina budaya orang India,orang Melayu budaya orang sini budaya orang India,1.7932839393615723,3.3404197692871094
so jadinya,so jadinya,so jadinya,0.7759668827056885,1.575455665588379
budaya orang Melayu ni,budaya orang Melayu ni,budaya orang Melayu ni,1.1109704971313477,2.755810260772705
orang Melayu ni menyumbang lebih separuh penduduk Malaysia,orang Melayu ni menyumbang lebih separuh penduduk Malaysia,orang Melayu ni menyumbang lebih separuh penduduk Malaysia,2.556959867477417,4.058347463607788
dekat Malaysia ni memang ramai orang Melayu la daripada,dekat Malaysia ni memang ramai orang Melayu la daripada,dekat Malaysia ni memang ramai orang Melayu lah daripada,2.118938684463501,4.782826900482178
ha,ah,ah,0.6492111682891846,1.286458969116211
daripada kaum-kaum lain,daripada kaum-kaum lain,daripada kaum kaum lain,1.346435546875,2.012308120727539
jadi orang Melayu ni memainkan peranan dominan secara politik,jadi orang Melayu ni memainkan peranan dominan secara politik,jadi orang Melayu ni memainkan peranan dominan secara politik,2.3401682376861572,4.637151718139648
dan dimasukkan ke dalam kumpulan yang dikenal,dan dimasukkan ke dalam kumpulan yang dikenal,dan dimasukkan ke dalam kumpulan yang dikenal,2.6264448165893555,4.085485458374023
pasti sebagai bumiputera,pasti sebagai bumiputera,pasti sebagai bumi putra,1.1402509212493896,2.233123779296875
ba-bahasa bahasa ibunda,ba-bahasa bahasa ibunda,bahasa bahasa Ibon dia,1.2412686347961426,2.2218070030212402
ha orang Melayu ialah Bahasa Melayu,ha orang Melayu ialah Bahasa Melayu,ah orang Melayu ialah bahasa Melayu,2.225444793701172,4.030048131942749
adalah ba-Bahasa Melayu ni adalah bahasa kebangsaan dekat Malaysia,adalah ba-Bahasa Melayu ni adalah bahasa kebangsaan dekat Malaysia,adalah bahasa Melayu ni adalah bahasa kebangsaan dekat Malaysia,2.73111629486084,4.675993204116821
dengan dengan definisi per-perlembagaan Malaysia semua orang Melayu adalah orang islam,dengan dengan definisi per-perlembagaan Malaysia semua orang Melayu adalah orang islam,dengan dengan definisi per per lembagaan Malaysia semua orang Melayu adalah orang Islam,3.676283597946167,5.517398357391357
orang asal penduduk terawal Ma-Malaysia membentuk hanya,orang asal penduduk terawal me- Malaysia membentuk hanya,orang asal penduduk terawal Malaysia membentuk hanya,2.167146682739258,3.813460350036621
kosong point lima pera-peratus daripada jumlah penduduk di Malaysia,kosong point lima pera-peratus daripada jumlah penduduk di Malaysia,kosong poin lima per peratus daripada jumlah penduduk di Malaysia,3.771738052368164,5.145819664001465
dan pada tahun dua ribu,dan pada tahun dua ribu,dan pada tahun 2000,1.0225820541381836,1.6057331562042236
masa tu kita tak kita tak lahir lagi lah em em,masa tu kita tak kita tak lahir lagi lah hm hm,masa tu kita tak kita tak lahir lagi lah um um,1.8082401752471924,4.663954734802246
tetapi,tapi,tapi,0.5753257274627686,1.1537771224975586
ha majoriti yang mewakili ha mewakili di ha Malaysia timur,ah majoriti yang mewakili ah mewakili di ah Malaysia timur,ah majoriti yang mewakili ah mewakili di ah Malaysia Timur,2.3669512271881104,4.64814305305481
iaitu di Sarawak kebanyakan kumpulan orang bukan islam diklasifikasikan sebagai Orang Dayak,yang itu di Sarawak kebanyakan kumpulan orang bukan islam diklasifikasikan sebagai orang dayak,iaitu di Sarawak kebanyakan kumpulan orang bukan Islam diklasifikasikan sebagai orang Dayak,4.611037015914917,6.548953294754028
ha so ada budaya kalau ada dekat Sarawak tu ada budaya Dayak,ha so ada budaya kalau dekat Sarawak tu ada budaya Dayak,ha so ada budaya kalau dekat Sarawak tu ada budaya daya,2.2655258178710938,5.556184768676758
dan mereka membentuk kira-kira empah puluh peratus penduduk di negara ini,dan mereka membentuk kira-kira empat puluh peratus penduduk di negara ini,dan mereka membentuk kira-kira empat puluh peratus penduduk di negeri ini,2.966869354248047,6.00595498085022
ramai suku telah memeluk agama Islam eh agama Kristian,ramai suku telah memeluk agama Islam eh agama Kristian,ramai suku telah memeluk agama Islam eh agama Kristian,2.9922938346862793,4.789279222488403
seribu eh,seribu eh,seribu eh,0.7794246673583984,1.6064767837524414
seratus empat puluh ribu orang asli terdiri daripada beberapa komuniti,seratus empat puluh ribu orang asli terdiri daripada beberapa komuniti,seraus empat puluh ribu orang asli terdiri daripada beberapa komuniti,2.719942092895508,6.822954416275024
et-etnik yang berbeza di Semenanjung Malaysia,et-etnik yang berbeza di Semenanjung Malaysia,etnik yang berbeza di Semenanjung Malaysia,1.971250295639038,3.3786635398864746
kalau macam orang Cina ni,kalau macam orang Cina ni,kalau macam orang Cina ni,1.1379354000091553,2.2186923027038574
dia telah menetap di Malaysia selama berabad-abad dan membentuk kumpulan etnik kedua terbesar,dia telah menetap di Malaysia selama berabad-abad dan membentuk kumpulan etnik kedua terbesar,dia telah menetap di Malaysia selama berabad-abad dan membentuk kumpulan etnik kedua terbesar,4.80184268951416,7.140358924865723
orang Cina pertama yang menetap di Malaysia di di negeri-negeri selat terutamanya di dalam dan di sekitar Melaka,orang Cina pertama yang menetap di Malaysia di di negeri-negeri selat terutamanya di dalam dan di sekitar Melaka,orang Cina pertama yang menetap di Malaysia di di negeri-negeri Selat terutamanya di dalam dan di sekitar Melaka,5.008081436157227,8.315745115280151
secara beransur-ansur menerima unsur-unsur budaya Malaysia dan berkahwin dengan masyarakat Malaysia,secara beransur-ansur menerima unsur-unsur budaya Malaysia dan berkahwin dengan masyarakat Malaysia,secara berangsur-angsur menerima unsur-unsur budaya Malaysia dan berkahwin dengan masyarakat Malaysia,4.005508899688721,8.11397385597229
dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul,dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul,dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul,2.415501356124878,5.541243553161621
muncul Peranakan orang-orang Cina telah meng,muncul Peranakan orang-orang Cina telah meng,muncul peranakan orang orang cinta telah meng,2.061506509780884,3.346970796585083
mengadaptasi tradisi Melayu sambil mengekalkan unsur-unsur budaya Cina seperti,mengadoptasi tradisi Melayu sambil mengekalkan unsur-unsur budaya Cina seperti,mengaduk tahsi tradisi Melayu sambil mengekalkan unsur-unsur budaya Cina seperti,3.425506830215454,8.072761535644531
ha agama Buddha agama,ha agama Buddha agama,ah agama Buddha agama,1.0295915603637695,2.0356040000915527
tau,tahu,tau,0.5335488319396973,1.1354095935821533
Taoisme,Taosme,taus meh,0.623253345489502,1.5819182395935059
yang sebahagian besarnya yang sebahagian besarnya,yang sebahagian besarnya yang sebahagian besarnya,yang sebahagian besarnya yang sebahagian besarnya,2.3083367347717285,4.476984262466431
pelbagai,pelbagai,pelbagai,0.5800197124481201,1.1516547203063965
kepelbagaian Cina yang lebih biasa yang diturut dituturkan di Semenanjung Malaysia adalah,kepelbagaian Cina yang lebih biasa yang diturut dituturkan di Semenanjung Malaysia adalah,kepelbagaian Cina yang lebih biasa yang diturut dituturkan di semenanjung Malaysia adalah,3.2962536811828613,7.5807785987854
Kantonis Mandarin,Kantonis Mandarin,kan Tonis Mandarin,0.8030071258544922,1.5951731204986572
Hokkien Hakka Hainan,Hokkien Hakka Hainan,hokain haka hainen,1.224027156829834,2.248762607574463
dan Fuzhou,dan Fuzhou,dan fuzo,0.7716014385223389,1.5674421787261963
kalau macam masyarakat India pula,kalau macam masyarakat India pula,kalau macam masyarakat India pula,1.7040340900421143,3.8759241104125977
em di Malaysia adalah yang terkecil masyarakat in- India dekat Malaysia ni,hm di Malaysia adalah yang terkecil masyarakat in- India dekat Malaysia ni,di Malaysia adalah yang terkecil masyarakat India dekat Malaysia ni,2.527050733566284,4.222736358642578
dia macam tak ramai sangat la dia ada tiga kumpulan etnik,dia macam tak ramai sangatlah dia ada tiga kumpulan etnik,dia macam tak ramai sangatlah dia ada tiga kumpulan etnik,2.2987306118011475,5.747980117797852
utama yang menyumbang kira-kira sepuluh peratus daripada penduduk negara ini,utama yang menyumbang kira-kira sepuluh peratus daripada penduduk negara ini,utama yang menyumbang kira-kira sepuluh peratus daripada penduduk negara ini,3.3261168003082275,6.859035968780518
mereka bercakap pelbagai bahasa Asia Selatan,mereka bercakap pelbagai bahasa Asia Selatan,mereka bercakap pelbagai bahasa Asia Selatan,2.5075483322143555,3.6262733936309814
Tamil Malayali dan orang,Tamil Malayali dan orang,Tamil Malayali dan orang,1.2322447299957275,2.432394504547119
telugu membentuk lebih daripada lapan puluh lima peratus daripada penduduk asal India di ne- negara ini,telugu membentuk lebih daripada lapan puluh lima peratus daripada penduduk asal India di negara ini,telugu membentuk lebih daripada 85 peratus daripada penduduk asal India di negara ini,4.421838998794556,7.0183000564575195
pendatang India ke Malaysia membawa mereka budaya Hindu dan Sikh,pendatang India ke Malaysia membawa mereka budaya Hindu dan Sikh,men datang India ke Malaysia membawa mereka budaya Hindu dan Sikh,1.9671423435211182,4.116809368133545
ini,ini,ini,0.5875811576843262,1.2950680255889893
termasuk,termasuk,termaksuk,0.9226553440093994,1.5728192329406738
termasuk kuil-kuil dan Gurdha,termasuk kuil-kuil dan gurdak,termasuk kuil-kuil dan gudak,1.667341709136963,3.3749048709869385
Gurd-Gurdwara,Gurd-Gurdwara,gur guru warah,1.1389880180358887,2.0079262256622314
masakan dan pakaian tradisi Hindu tetap kuat di Malaysia India di masyarakat India Malaysia,masakan dan pakaian tradisi Hindu tetap kuat di Malaysia India di masyarakat India Malaysia,masakan dan pakaian tradisi Hindu tetap kuat di Malaysia India di masyarakat India Malaysia,4.030745029449463,5.815128803253174
masyarakat India yang mengamalkan amalan budaya Melayu yang yang wujud di Melaka walaupun mereka tu,masyarakat India yang mengamalkan amalan budaya Melayu yang yang wujud di Melaka walaupun mereka,masyarakat India yang mengamalkan amalan budaya Melayu yang yang wujud di Melaka walaupun mereka,3.6860828399658203,8.40621280670166
tetap Hindu,tetap Hindu,tetap Hindu,0.7731425762176514,1.5859918594360352
bercakap bahasa Melayu dan berpakaian dan bertindak sebagai orang Melayu,bercakap bahasa Melayu dan berpakaian dan bertindak sebagai orang Melayu,bercakap bahasa Melayu dan berpakaian dan bertindak sebagai orang Melayu,2.9192230701446533,6.700241565704346
kalau macam kau pula kau tahu,kalau macam kau pula kau tahu,kalau macam kau pula kau tahu,1.2775635719299316,2.4406492710113525
hm apa lagi tentang,um apa lagi tentang,ah apa lagi tentang,0.7974393367767334,1.589442253112793
budaya ni,budaya ni,budaya ni,0.6474287509918213,1.4579169750213623
oh ni untuk masyarakat Melayu lah,oh ni untuk masyarakat Melayu lah,oh ni untuk masyarakat Melayu lah,2.084355592727661,3.6012520790100098
hm,hm,hm,0.44931983947753906,0.9192593097686768
hm,hm,hmm,0.41093897819519043,0.9115927219390869
kalau pakaian orang India ke orang Cina ke macam mana pula,kalau pakaian orang India ke orang Cina ke macam mana pula,kalau pakaian orang India ke orang China ke macam mana pula,2.1403260231018066,4.314513683319092
kalau macam aku pula aku,kalau macam aku pula aku,kalau macam aku pula aku,1.5495672225952148,2.5639944076538086
aku minat tapi aku tak pandai,aku minat tapi aku tak pandai,aku minat tapi aku tak pandai,1.2424311637878418,2.4353792667388916
ah minat ah da-dalam,ah minat ah da-dalam,ah minat ah dah dalam,1.2350897789001465,2.01122784614563
bidang seni iaitu joget ah macam menari macam kalau orang Melayu orang Melayu dia ada,bidang seni iaitu joget ah macam menari macam kalau orang Melayu orang Melayu dia ada,bidang seni iaitu joget lah macam menari macam kalau orang Melayu orang Melayu dia ada,3.5440173149108887,6.507794380187988
ah joget Melayu ke Zapin ke kan Kuda Kepang ke,ha joget Melayu ke Zapin ke kan Kuda Kepang ke,ha jokit Melayu ke Zafin ke kan kutuk kepang ke,2.293748140335083,5.765719413757324
so,so,su,0.6442184448242188,0.9579124450683594
erm,hm,hmm,0.42703986167907715,0.9224803447723389
kalau macam orang Cina pula dia ada Tarian Kipas,kalau macam orang Cina pula dia ada Tarian Kipas,kalau macam orang Cina pula dia ada tarian kipas,2.0147526264190674,3.97894287109375
dia ada ada Tarian Naga kalau orang India dia ada tarian,dia ada ada Tarian Naga kalau orang India dia ada tarian,dia ada ada tarian naga kalau orang India dia ada tarian,2.151695489883423,5.03741717338562
tarian,tarian,darian,0.5695102214813232,1.1354968547821045
selain daripada Zapin,selain daripada Zapin,selain daripada zapin,1.0881071090698242,2.233715057373047
yang aku tahu,yang aku tahu,ya aku tahu,0.6602036952972412,1.3571228981018066
ada Tarian Kuda Kepang,ada Tarian Kuda Kepang,ada tarian kuda kepang,1.2042698860168457,2.9366366863250732
Kuda Kepang ni pendatang-pendatang Jawa,Kuda Kepang ni pendatang-pendatang Jawa,kuda kepang ni pendatang-pendatang Jawa,2.5659737586975098,3.7943975925445557
dia daripada Jawa dia bawa ke Johor,dia daripada Jawa dia bawa ke Johor,dia daripada Jawa dia bawa ke Johor,1.812704086303711,3.6089396476745605
dan merupakan satu bentuk tarian di mana,dan merupakan satu bentuk tarian di mana,dan merupakan satu bentuk tarian di mana,2.115278482437134,3.578169345855713
penari-penari duduk di atas kuda,penari-penari duduk di atas kuda,penari-penari duduk di atas kuda,1.7030510902404785,3.3000614643096924
mengejek dan menceritakan kisah perang Islam,mengejek dan menceritakan kisah perang Islam,menginjik dan menceritakan kisah Perang Islam,1.9413909912109375,5.112145900726318
so dia ceritakan pasal pasal perang Islam la masyarakat Cina membawa Tarian Cina,so dia ceritakan pasal pasal perang Islam la masyarakat Cina membawa Tarian Cina,so dia ceritakan pasal pasal perang Islam lah masyarakat China membawa Tarian Singa,3.222259759902954,6.013900279998779
kalau masyarakat Cina pula dia mem-membawa tarian singa tradisional dan tarian naga bersama-sama mereka sementara kaum India membawa bentuk-bentuk seni seperti,kalau masyarakat Cina pula dia mem-membawa tarian singa tradisional dan tarian naga bersama-sama mereka sementara kaum India membawa bentuk-bentuk seni seperti,kalau masyarakat Cina pula dia membawa tarian singa tradisional dan tarian naga bersama-sama mereka sementara kaum India membawa bentuk-bentuk seni seperti,7.1931471824646,11.731214046478271
Baratha,Baratha,barata,0.5721771717071533,1.1495819091796875
Nat-Nat-Nat-Natyam dan Bangra,Nat-Nat-Natyam dan Bangra,Nyat Nyat Nyat Yam dan Bang Gra,1.6735048294067383,3.1710402965545654
kolonia-kolonialisme juga membawa bentuk seni yang lain seperti fara fira dan ranca Portugis,kolonial-kolonialisme juga membawa bentuk seni yang lain seperti fara pera dan branca Portugis,kolonial kolonialisme juga membawa bentuk seni yang lain seperti farapira dan brancha Portugis,3.7657711505889893,7.204830169677734
terdapat pelbagai tarian tradisional yang sering mempunyai kepentingan yang rohani sangat kuat,terdapat pelbagai tarian tradisional yang sering mempunyai kepentingan yang rohani yang sangat kuat,terdapat pelbagai talian tradisional yang sering mempunyai kepentingan rohani yang sangat kuat,3.795900344848633,8.191967964172363
sebilangan kaum sebilangan suku dari Malaysia barat dan timur mempunyai tarian yang berbeza,sebilangan kawak sebilangan suku dari Malaysia barat dan timur mempunyai tarian yang berbeza,sebilangan kau sebilangan suku dari Malaysia Barat dan Timur mempunyai tarian yang berbeza,3.6732327938079834,7.79874324798584
macam macam macam,macam macam macam,so macam macam macam,0.7900645732879639,1.5696611404418945
so kat Malaysia ni macam-macam la tarian,so kat Malaysia ni macam-macam lah Tarian,so kat Malaysia ni macam-macam lah tarian,1.571079969406128,3.1051080226898193
kalau dari segi muzik,kalau dari segi muzik,kalau dari segi muzik,1.2294881343841553,2.7228353023529053
muzik,muzik,muzik,0.8799865245819092,1.960202932357788
muzik [UNK] ah budaya mana yang kau suka,muzik ha budaya mana yang kau suka,muizik ah budaya mana yang kau suka,1.4736535549163818,2.8736324310302734
Melayu ke India ke Cina ke,Malayu ke India ke Cina ke,Layu ke India ke China ke,1.4687044620513916,2.453120708465576
oh ya la perempuan kan,oh ya la perempuan kan,oh elah perempuan kan,1.2485861778259277,3.2175934314727783
kalau daripada lagu kau suka lagu lagu daripada macam,kalau daripada lagu kau suka lagu lagu daripada macam,kalau daripada lagu kau suka lagu lagu daripada macam,2.8088462352752686,4.463391065597534
