reference,base_prediction
ya hujan panas, ya hujan manas
ha ah, haa
oh, oh
untuk pengetahuan kamu hujan panas, untuk kawankawan kamu hujan panas
apa dia dia macam apa, apa dia dia macam apa
oh, oh
kalau kamu kata pasal hujan panas ni, kalau kamu kata pasal hujan panas ni
iya lagi bahaya daripada hujan biasa yang kita lakukan sebab hujan panas ni bukan, ia lebih bahaya daripada hujan biasa yang kita lakukan sebab hujan patas ini bukan
hujan yang mana, hujan yang mana
ah, terima kasih
kimia dia lebih kuat lah sebab, kimia dia lebih kuat lah sebab
ia adalah hujan yang, ia adalah hujan yang
tak sepatutnya turun tapi dia turun pada waktu tu, tak sepatutnya turun tapi dia turun pada waktu tu
dia datang [UNK] pada ah, dia datang kepada
pada saat yang mengejut, pada saat yang mengejut
di mana kalau kalau sebelum hujan kalau hujan biasa dia akan menunjukkan petanda petanda seperti awan mendung, maksudnya kalau hujan biasa dia akan menunjukkan petanipetani seperti awan mendung
ataupu ribut, ataupun reboot
tapi ni tak, tapi ni tak
di mana ada matahari di situ tiba tiba hujan turun jadi, di mana ada matahari di situ tibatiba hujan turun
hujan ni memang bukan hujan biasa sebab, hujan ni memang bukan hujan biasa sebab
hujan ni memang kimia dia memang akan, hujan ni memang kimia dia memang akan
turun disebabkan dia tak mampu nak tahan, turun disebabkan dia tak mampu nak tahan
tahan apa yang ada kat dalam tu, tahan apa yang ada kat dalam tu
so kalau hujan waktu matahari terang [UNK] kalau boleh elakkan daripada terkena lah, so kalau hujan waktu matahari terang kalau boleh elakkan daripada terkena lah
sebab main hujan memang bahaya, sebab hujan memang bahaya
dia boleh bawa kepada demam teruk yang serius, ia boleh membawa kepada demam teruk yang serius
ha, haa
hm, hmm
wah jumlah yang sangat mendadak eh kenaikan yang mendadak, wah jumlah yang sangat mendadak penaikan yang mendadak
macam mana boleh [UNK] benda terjadi tersebut, maka macam mana boleh terjadi tersebut
oh, oh
oh [UNK] okey okey, oh kogel kini
ya, ya
oh kalau nak tau, kalau nak tahu
[UNK] bukannya masalah, ini bukannya masalah
makan berlebihan ataupun kurang bersenam [UNK] suatu yang kita tak kisah tapi benda tersebut, ataupun kurang lebih 6 ia sesuatu yang kita tak kisah tapi benda tersebut
kita kena jagalah kalau contohnya kita makan banyak kita kenalah senam sikit kena [UNK] seimbangkan diri kita, kita kena jagalah kalau contohnya kita makan banyak kita kena lah senam sikit kena kena seimbangkan diri kita
mengikut piramid makanan, mengikut piramid makanan
mengikut, nikoi
apa yang dikatakan oleh Kementerian Kesihatan, apa yang dikatakan oleh kementerian kesihatan
kita tak boleh ikut diri kita je, kita tak boleh ikut diri kita je
sebab kalau kita, sebab kalau kita
asyik lebih senangkan diri kita dulu macam kita makan banyak, pasti lebih senangkan diri kita dulu macam kita makan banyak
and then kita lupa nak bersenam effect dia tak akan datang terus tau kadang-kadang, and then kita lupa nak bersenam efek ni tak akan datang terus tau kadangkadang
dia akan [UNK] effect kepada, dia akan menyebabkan
sepuluh tahun yang akan datang dua puluh tahun yang akan datang dia akan effect kepada benda tersebut, 10 tahun yang akan datang 20 tahun yang akan datang dia akan efek daripada benda tersebut
mungkin sekarang kita tak ada kencing manis mungkin lagi lima tahun kita akan ada kencing manis mungkin sekarang kita hm okey lagi mungkin nanti dah esok kita ada diabetes, mungkin sekarang kita tak ada kecil manis mungkin lagi 5 tahun kita akan ada kecil manis mungkin sekarang kita ok lagi mungkin nanti esok kita ada diabetes
ha benda ni tak hm, boleh minta
ah kalau ikutkan tu kerajaan banyak boleh membantu sebenarnya kerajaan telah bantu kita banyak tau tapi kita je tak sedar bahawa, kalau ikutkan tu kerajaan banyak boleh membantu sebenarnya kerajaan telah bantu kita banyak tau tapi kita je tak sedar bahawa
kerajaan telah mem-memberitahu kepada kita dia telah meletakkan banyak, kerajaan telah memberitahu kepada kita telah meletakkan banyak
banyak banyak sign di banyak di banyak restoran restoran tentang piramid makanan dan, banyakbanyak sign di mana restoranrestoran tentang piramid makanan dan
cuma rakyat Malaysia ni kamu tau Malaysia ni merupakan syurga makanan bak kata orang, cuma rakyat malaysia ni kamu tahu malaysia ni merupakan sugar makanan bagi ketua orang
di mana semua tempat ada banyak makanan semuanya sedap-sedap, di mana semua tempat ada banyak makanan semuanya sedapsedap
dan kuantitinya sangat banyak dan sebab itulah mungkin antara Malaysia merupakan rakyat yang paling banyak mempunyai masalah obesiti, dan kuantitanya sangat banyak dan sebab itulah mungkin antara malaysia merupakan rakyat yang paling banyak mempunyai masalah obesiti
walaupun pada kalangan muda, walaupun pada kalanya muda
dia bukanlah bukan salah kerajaan sebenarnya dia salah pada diri sendiri, bukan salah kerajaan risalah pada diri sendiri
ah, aa
lebih peka [UNK] lebih peka tentang kesihatan, lebih peka tentang kesihatan
hm okey, hmm ok
ah, aa
hm sama macam ibu bapa jugalah ia perlu diterapkan daripada kecik, hmm sama macam ibu bapa jugalah ia perlu diterapkan daripada kecil
ha dia macam, haa dia macam
ha dia macam mengehadkan makanan ah masak makanan yang, dia macam menghidkan makanan masak makanan yang
[UNK] ah masak makanan yang seimbang yang mana banyak sayur kurangkan gula dalam masakan [UNK] kurangkan garam lebihkan sayurlah, masak makanan yang seimbang yang mana banyak sayur kurangkan gula dalam masakan kurangkan garam dan biarkan sayur lah
hm, hmm
memang, memang
masalah kesihatan ni kebanyakannya datang daripada makananlah bukan saja kurang bersenam, masalah kesihatan ni kebanyakannya datang daripada makanan lah bukan sahaja kurang bersenam
bersenam kalau boleh tiga kali seminggu itu paling kuranglah kalau nak buat [UNK], bersenam kalau boleh 3 kali seminggu itu paling kurang lah kalau nak buat muslimah
hm, hmm
ah saya rasa, saya rasa
em itu saja kot tentang kesihatan ni jadi saya just nak cakap awak kena jagalah kesihatan awak dan [UNK] kalau boleh bagitahulah semua kawan-kawan awak ataupun saudara-mara awak tentang masalah ni, jadi itu sahaja kot tentang kesihatan ni jadi saya just nak cakap awak kena jagalah kesihatan awak dan kalau boleh beritahu lah semua kawankawan awak ataupun suruh marah awak tentang masalah ni
ha ah, haa
ah masalah, masalah
hm, hmm
okey, okey
oh terima kasih dah share benda ni kepada saya okey, terima kasih kerana share benda ini kepada saya
bye, bye
hai, bye
oh hai, oh hai
bet, ket
cuti sekolah selalu aku tengok K drama K drama aku layan B T S, di sekolah selalu aku tengok kdrama kdrama aku layan bts
aku layan K Pop, aku rinkep
lepas tu aku kemas rumah, pasal kekemas rumah
hm, hmm
ah ha, uhhuh
ha, err
kalau aku, kalau aku
ha kalau macam, kerana
er buat standard rumah, sendok rumah
macam biasalah aku pergi, macam biasalah aku pergi
aku pergi rumah nenek aku, lepas tu pergi rumah nenek aku
rumah nenek aku dekat Mersing ada Bakar Batu ada, mak nenek aku dekat mersing ada pakar batu ada
macam-macam ada, macammacam adik
lepas tu, so
kalau tak pun, kalau tak pun
pergi bercuti, pergi bercuti
aku pergi bercuti, untuk pergi bercuti
dekat, dekat
pulau-pulau lah, pulaupulau lah
ha ada satu ni ada Pulau Babi, ada satu ni ada pulau babi
nama pulau tu memang pulau, yang mempunyai tu memang mempunyai
pulau, pulau
Pulau Babi tu dia dekat Johor, pulau babi tu dia dekat johor
dekat Mersing lah, di malaysia
pulau dia nama dia Pulau Babi Besar, pulau dia nama dia pulau babi besar
dekat Mersing, dia tak mersing
kalau kau kau nak pergi mana, kalau kau kau nak jemena
hm tak pergi bercuti, tak pergi bercuti
tak pergi bercuti ke, tak pergi bercuti ke
um hm selalu kalau cuti jauh-jauh kau pergi mana, hmm kalau cuti jodoh kau bagaimana
hm kalau kalau aku cuti lama, kalau aku cuti lama
aku lagi suggest kan pergi pantai, aku lagi seriuskan pergi pantai
cadang kalau aku pergi Melaka pergi lawat, kadangkadang kalau aku pergi melaka pergi lawat
ha nenek ha atuk saudara aku dekat Melaka sana, nenek dan atuk saudara aku dekat melaka sana
aku pergi pantai, aku pergi pantai
ha, terima kasih kerana menonton
ha ah juga lepas tu dekat, aa juga lepas tu dekat
ha rumah atuk aku, rumah atuk aku
dekat, dekat
Klebang tu, klebang tu
rumah dia rumah dia dekat situ lepas tu belakang tu kau jalan just jalan kaki je dah sampai pantai, rumah dia dekat situ lepas tu belakang tu kau jalan kaki je dah sampai pantai
ha ah, uhuh
hm hm aku selalu balik sana memang, aku selalu balik sana memang
hitam lah, hitamlah
hm muka burn gila, memang keben gila
kalau kau, kau nak kaw
kalau, kalau
hm kalau hotel-hotel kau pernah pergi, kalau hotelhotel kau pernah pergi
contoh hotel yang kau pernah pergi, contoh hotel kau pernah pergi
hm hm, hmm
ah ah, uhuh
oh, oh
kalau aku pun aku kan kalau pergi Melaka kan aku pergi ramai-ramai so memang sewa ho eh ah homestay lah homestay tu dekat-dekat dengan bandar lah, kalau aku pun aku kan kalau pergi melaka kan pergi ramairamai so memang saya work homestay lah homestay tu dekatdekat dengan bandar lah
dia kalau homestay tu satu malam, dia kalau homestay tu satu malam
setakat, sebab
seratus seratus lima puluh macam gitu lah so selalu kita orang tidur seminggu, seratus lima puluh macam gitulah so selalu kitorang tidur seminggu
seminggu dalam entahlah, sehingga dalam talah
kalau kau, terima kasih
er sewa, terima kasih
kalau kau selalu, keluk kosong
kalau kau selalu, kelukus seluruh
hm, hmm
satu malam kau kat sana berapa, satu malam kau kat sana berapa
oh mahal tak, oh mahal tak
hm, hmm
ha selain Melaka, selain melaka
selain Melaka apa lagi, selamat malam
tempat yang kau nak bercuti, tempat yang kau nak bercuti
kenapa, kenapa
ah and then, dan
hm kalau kalau aku lah kan, kalau aku lah kan
aku teringin nak pergi Terengganu, aku teringin nak pergi terengganu
ha ah, tak
ah, ah
ha best lah dapat jumpa penyu, best lah dapat jumpa penyuh
lepas tu dapat jumpa Zizan, lepas tu dapat jumpa zizan
ha ah, haahaa
aku nak pegang penyu tu nak pegang baby penyu tu nak belai belai, aku nak pegang penyu tu nak pegang baby penyu tu nak belaibelai
eh comel, rizkyongan
kejap lah aku lupa kejap eh aku fikir, sekejap lah aku lupa sekejap lah aku fikir
ha pantai, pantai
pantai, pantai
pantai, pantai
Teluk Ketapang, telur ketapang
hm tak pasti lah kat mana, hmm tak pasti lah kat mana
hm sebab kan kita nak exam, hmm sekejap lagi ternyata ia adalah
biasalah [UNK], terima kasih kerana menonton
banyak kekangan masa kan, nak kekangan masa kan
of course lah Korea, of course lah korea
aku nak pergi Korea sebab aku nak pergi Nami Island aku nak pergi tengok, aku nak pergi korea sebab aku nak pergi nami island aku nak pergi tengok
B T S, bts
aku teringin nak nak pergi jumpa B T S, aku tu fikir nak bagi jumpa bts
ha ah, tak
musim salji lah, oh si msal ji lah
sebab aku nak buat orang salji, so aku nak buat orang saji
aku, aku
kalau dengan kawan-kawan aku teringin nak pergi, kalau dengan kawankawan aku teringat nak pergi
ha shop shop B T twenty one, shop bt21
ha dekat Seoul Seoul Korea, dekat seoul korea
lepas tu aku nak, lepas tu aku nak
ha ah lepas tu aku nak pergi Purple Island, haa lepas tu aku nak pergi purple island
ah, ah
tak pasti lah aku tak pasti pulau apa, tak pastilah aku tak pasti pulau apa
tapi setakat yang aku tahu, tapi setakat yang aku tahu
ha Purple Purple Island je lah Purple Island tu, purple island je lah purple island tu
ha dia punya pulau tu dia rumah tau rumah kat dekat pulau tu, dia punya pulau tu dia rumah kat pulau tu
dalam rumah tu adalah rumah kampung rumah tradisional Korea lepas tu dia punya rumah tu semua warna purple, dan rumah macam rumah kampung rumah tradisional korea so dia punya rumah tu semua warna purple
sebab tu lah dia dapat nama Purple Island, sebab tu lah dia dapat nama purple island
ya ya ada, ya ada
ha dekat aku lupa lah nama tempat tu lepas tu dekat situ kau boleh bebas nak pakai baju tradisional gerai yang macam-macam tu, haa dekat aku lupa lah nama tempat tu lepas tu kat situ kau boleh bebas nak pakai baju tradisional dorang yang macammacam tu
baju dia baju di raja, baju diraji
ha ah, tak
ha ah sewa sewa untuk satu hari je satu hari pun setengah hari je, sewa sewa untuk satu hari je satu hari pun setengah hari je
aku teringin nak pergi, aku teringat nak pergi
nak pergi Australia, nak pergi australia
ya aku nak jumpa Koala sekali, ya aku nak jumpa korang lah sekali
hm nak jumpa apa, hmm nak jumpa apa
oh Disneyland, oh disneyland
apa yang menarik sangat, apa yang menarik sangat
apa yang menarik sangat dengan Disneyland tu, apa yang menarik sangat dengan disneyland tu
ah, wah
kat lepas tu tempat lain yang aku nak pergi, lepas tu tempat lain yang nak pergi
aku nak pergi Afrika, aku nak pergi afrika
ha ah, tak
ah aku nak pergi tempat yang ada binatang bintang buas banyak banyak tu, aku nak pergi tempat yang ada binatang binatang bos banyakbanyak tu
ada gajah ada harimau ada singa, ada gajah ada harimau ada singa
lepas tu ada [UNK] ada kuda ada macam macam lah aku teringin nak jumpa singa dengan harimau, lepas tu ada kuda ada macammacam lah aku teringat nak jumpa singa dengan arimau
ah ha oh Pahang Pahang aku [UNK] pernah pergi, oh pahang pahang aku pernah pergi
aku pergi air terjun dia best, aku pergi air terjun dia best
ah Pahang dekat, apa yang dekat
Temerloh, terima kasih kerana menonton
Cameron ah Cameron Highlands Cameron Highlands pun aku pernah pergi, haa camera hala camera hala apa aku pernah pergi
dekat Cameron Highlands tu ada rumah, dekat cameron highlands tu ada rumah
nenek saudara aku, nenek sedara aku
so kat situ [UNK] kita orang bebaslah nak pergi mana mana nak pergi, so kat situ kita orang bebas lah nak pergi manamana nak pergi
ah [UNK] ah ladang strawberi, ladang strawberry
lepas tu ah ladang, lepas tu ladang
ah, err
teh teh bung-bunga teh apa daun teh daun teh, t t bunga t apa daun t daun t
ladang teh erm ladang teh, ladang teh hmm ladang teh
ha ag dekat lepastu dia punya dia punya halaman rumah pun, haa dekat lepas tu dia punya halaman rumah pun
ah ada banyak sayur sayur, ada banyak sayursayur
macam kat situ dia punya udara segarlah lepastu sejuk, macam kat situ dia punya udara segar lah lepas tu sejuk
ya, ya
ma kalau malam, kalau malam
malam tak payah buka kipas pun dah rasa sejuk, malam tak payah buka kipas pun dah rasa sejuk
ha ah, tak
aku cadangkan kau pergi, aku cadangkan kau pergi
ha ah ah, hmm
Sabah, sabah
Sabah ataupun Sarawak, sabah ataupun sarawak
ya ah ada sungai buaya, ya ada sungai buaya
ada banyak buaya kat situ, ada banyak buah je kat situ
sebabkan kat Sabah tu, sebabkan kakis apa tu
ah, err
ada macam macam ben, ada macammacam pun
benda lah dia macam, benda lah dia macam
ada rumah panjang, ada rumah panjang
and don, entun
dapat menarik kenapa ada apa kat sana, tempat menarik kenapa ada apa kat sana
ha ah, ha
macam tu ada, contohnya
Surabaya bukan ah kampung Freddy ke, surabaya bukan kampung freddy ke
ah so, asuh
tempat, terima kasih kerana menonton
Surabaya je, surabaya je
kat Jakarta Jakarta kan ada, jakarta jakarta kan ada
ah K tempat tempat lain yang aku boleh pergi kat mana, ok tempattempat lain yang aku boleh pergi kat mana
dalam Malaysia ah, dalam malaysia lah
Perak, terima kasih
kenapa kenapa kau suggestkan aku nak pergi Perak, kenapa kau sarkaskan aku nak pergi perak
erm dia macam lagi luas lah kan, hmm dia macam lagi luas lah kan
macam Zoo Negara juga lah kan, macam zul negara jugalah kan
erm, hmm
lepastu tempat lain tempat lain, asal tempat lain tempat lain ni
em, hmm
kalau aku kalau kat luar negara lah, dalam aku kalau kat luar negara lah
aku suggestkan kau pergi Paris, aku saku suka pergi paris
kota romantik, kota romantik
ya romantik kalau kau pergi sana kau kena kahwin dulu lah, ya romantik kalau kau pergi sana kau kena kahwin dulu lah
kalau kau pergi kalau kau pergi seorang-seorang rasa macam lonely lonely betul, kalau kau pergi kalau kau pergi sorangsorang rasa macam lonely lonely betul
ha ah dengan kawan kan satu kepala, aa dengan kawan kau satu kepala
ah weh dah lah ah aku nak pergi dulu bye, dahlah aku nak pergi dulu bye
hai, hai
Ina buat apa tu, mena buat apa tu
oh Ina, oh enak
kau tahu tak yang dekat Malaysia ni sebenarnya ada macam-macam budaya dekat Malaysia ni, kau tahu tak yang dekat malaysia ni sebenarnya ada macammacam budaya dekat malaysia ni
contohnya macam Melayu, contohnya macam melayu
budaya, budaya
orang Melayu budaya orang Cina budaya orang India, orang melayu orang sinai orang india
so jadinya, so jadinya
budaya orang Melayu ni, budaya orang melayu ini
orang Melayu ni menyumbang lebih separuh penduduk Malaysia, orang melayu ini menyumbang lebih separuh penduduk malaysia
dekat Malaysia ni memang ramai orang Melayu la daripada, dekat malaysia ni memang ramai orang melayu lah daripada orang melayu
ha, ah
daripada kaum-kaum lain, diberi kaumkaum lain
jadi orang Melayu ni memainkan peranan dominan secara politik, jadi orang melayu ini memainkan peranan dominan secara politik
dan dimasukkan ke dalam kumpulan yang dikenal, dan dimasukkan ke dalam kumpulan yang dikenal
pasti sebagai bumiputera, pasti sebagai bumi putra
ba-bahasa bahasa ibunda, bahasa ibunda
ha orang Melayu ialah Bahasa Melayu, orang melayu ialah bahasa melayu
adalah ba-Bahasa Melayu ni adalah bahasa kebangsaan dekat Malaysia, bahasa melayu ni adalah bahasa kebangsaan dekat malaysia
dengan dengan definisi per-perlembagaan Malaysia semua orang Melayu adalah orang islam, dengan definisi perlembagaan malaysia semua orang melayu adalah orang islam
orang asal penduduk terawal Ma-Malaysia membentuk hanya, orang asal penduduk terawal malaysia membentuk hanya
kosong point lima pera-peratus daripada jumlah penduduk di Malaysia, 05 daripada jumlah penduduk di malaysia
dan pada tahun dua ribu, dan pada tahun 2000
masa tu kita tak kita tak lahir lagi lah em em, masa tu kita tak lahir lagi lah
tetapi, tapi
ha majoriti yang mewakili ha mewakili di ha Malaysia timur, majoriti yang mewakili di malaysia timur
iaitu di Sarawak kebanyakan kumpulan orang bukan islam diklasifikasikan sebagai Orang Dayak, iaitu di sarawak kebanyakan kumpulan orang bukan islam diklasifikasikan sebagai orang dayak
ha so ada budaya kalau ada dekat Sarawak tu ada budaya Dayak, so kalau dekat sarawak tu ada budaya dayak
dan mereka membentuk kira-kira empah puluh peratus penduduk di negara ini, dan mereka membentuk kirakira 40 penduduk di negeri ini
ramai suku telah memeluk agama Islam eh agama Kristian, ramai suku telah memeluk agama kristian
seribu eh, seribu eh
seratus empat puluh ribu orang asli terdiri daripada beberapa komuniti, 140000 orang asli terdiri daripada beberapa komuniti
et-etnik yang berbeza di Semenanjung Malaysia, etnik yang berbeza di semenanjung malaysia
kalau macam orang Cina ni, kalau macam orang china ni
dia telah menetap di Malaysia selama berabad-abad dan membentuk kumpulan etnik kedua terbesar, dia telah menetap di malaysia selama berabadabad dan membentuk kumpulan etnik kedua terbesar
orang Cina pertama yang menetap di Malaysia di di negeri-negeri selat terutamanya di dalam dan di sekitar Melaka, orang cina pertama yang menetap di negerinegeri selat terutamanya di dalam dan di sekitar melaka
secara beransur-ansur menerima unsur-unsur budaya Malaysia dan berkahwin dengan masyarakat Malaysia, secara berangsurangsur menerima unsurunsur budaya malaysia dan berkahwin dengan masyarakat malaysia
dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul, dan dengan ini sebuah kumpulan etnik baru yang dipanggil muncul
muncul Peranakan orang-orang Cina telah meng, muncul peranakan orangorang cinta telah mengatakan
mengadaptasi tradisi Melayu sambil mengekalkan unsur-unsur budaya Cina seperti, mengadoptasi tradisi melayu sambil mengekalkan unsurunsur budaya cina seperti
ha agama Buddha agama, agama buddha agama
tau, tau
Taoisme, tauzmi
yang sebahagian besarnya yang sebahagian besarnya, yang sebahagian besarnya yang sebahagian besarnya
pelbagai, pelbagai
kepelbagaian Cina yang lebih biasa yang diturut dituturkan di Semenanjung Malaysia adalah, kebebagian cina yang lebih biasa yang dituturkan di semenanjung malaysia adalah
Kantonis Mandarin, cantonese mandarin
Hokkien Hakka Hainan, hokain hakkah hainan
dan Fuzhou, denfuzo
kalau macam masyarakat India pula, kalau macam masyarakat india pula
em di Malaysia adalah yang terkecil masyarakat in- India dekat Malaysia ni, di malaysia adalah yang terkecil masyarakat india dekat malaysia ni
dia macam tak ramai sangat la dia ada tiga kumpulan etnik, dia macam tak ramai sangat lah dia ada tiga kumpulan etnik
utama yang menyumbang kira-kira sepuluh peratus daripada penduduk negara ini, utama yang menyumbang kirakira 10 daripada penduduk negara ini
mereka bercakap pelbagai bahasa Asia Selatan, mereka bercakap pelbagai bahasa asia selatan
Tamil Malayali dan orang, tamil malayali dan orang
telugu membentuk lebih daripada lapan puluh lima peratus daripada penduduk asal India di ne- negara ini, telugu membentuk lebih daripada 85 daripada penduduk asal india di negara ini
pendatang India ke Malaysia membawa mereka budaya Hindu dan Sikh, mendatang india ke malaysia membawa mereka budaya hindu dan sikh
ini, ini
termasuk, termasuk
termasuk kuil-kuil dan Gurdha, termasuk kuilkuil dan gudak
Gurd-Gurdwara, guru warah
masakan dan pakaian tradisi Hindu tetap kuat di Malaysia India di masyarakat India Malaysia, masakan dan pakaian tradisi hindu tetap kuat di masyarakat india malaysia
masyarakat India yang mengamalkan amalan budaya Melayu yang yang wujud di Melaka walaupun mereka tu, masyarakat india yang mengamalkan amalan budaya melayu yang wujud di melaka walaupun mereka tidak mempunyai kemampuan untuk membuatnya
tetap Hindu, tetap hindu
bercakap bahasa Melayu dan berpakaian dan bertindak sebagai orang Melayu, bercakap bahasa melayu dan berpakaian dan bertindak sebagai orang melayu
kalau macam kau pula kau tahu, kalau macam kau pula kau tahu
hm apa lagi tentang, apa lagi tentang
budaya ni, budaya ni
oh ni untuk masyarakat Melayu lah, oh ni untuk masyarakat melayu lah
hm, hmm
hm, hmm
kalau pakaian orang India ke orang Cina ke macam mana pula, kalau pakaian orang india ke orang china ke macam mana pula
kalau macam aku pula aku, kalau macam aku pula aku
aku minat tapi aku tak pandai, aku minat tapi aku tak pandai
ah minat ah da-dalam, minat dalam
bidang seni iaitu joget ah macam menari macam kalau orang Melayu orang Melayu dia ada, bidang seni iaitu joget lah macam menari macam orang melayu dia ada
ah joget Melayu ke Zapin ke kan Kuda Kepang ke, joget melayu ke zapin ke kan kutuk ipang ke
so, su
erm, hmm
kalau macam orang Cina pula dia ada Tarian Kipas, kalau macam orang china pula dia ada tarian kipas
dia ada ada Tarian Naga kalau orang India dia ada tarian, dia ada tarian naga kalau orang india dia ada tarian
tarian, tarian
selain daripada Zapin, selain daripada zapin
yang aku tahu, enggak aku tahu
ada Tarian Kuda Kepang, ada tarian kuda kepang
Kuda Kepang ni pendatang-pendatang Jawa, kuda kipang ni pendatangpendatang jawa
dia daripada Jawa dia bawa ke Johor, daripada jawa dibawa ke johor
dan merupakan satu bentuk tarian di mana, dan merupakan satu bentuk tarian di mana
penari-penari duduk di atas kuda, penaripenari duduk di atas kuda
mengejek dan menceritakan kisah perang Islam, mengijik dan menceritakan kisah perang islam
so dia ceritakan pasal pasal perang Islam la masyarakat Cina membawa Tarian Cina, so dia ceritakan pasal perang islam lah masyarakat china membawa tarian singa
kalau masyarakat Cina pula dia mem-membawa tarian singa tradisional dan tarian naga bersama-sama mereka sementara kaum India membawa bentuk-bentuk seni seperti, kalau masyarakat cina pula dia membawa tarian singa tradisional dan tarian naga bersamasama mereka sementara kaum india membawa bentukbentuk seni seperti
Baratha, barata
Nat-Nat-Nat-Natyam dan Bangra, nyat yam dan bang gra
kolonia-kolonialisme juga membawa bentuk seni yang lain seperti fara fira dan ranca Portugis, kolonialisme juga membawa bentuk seni yang lain seperti farapira dan branca portugis
terdapat pelbagai tarian tradisional yang sering mempunyai kepentingan yang rohani sangat kuat, terdapat pelbagai talian tradisional yang sering mempunyai kepentingan rohani yang sangat kuat
sebilangan kaum sebilangan suku dari Malaysia barat dan timur mempunyai tarian yang berbeza, sebilangan suku dari malaysia barat dan timur mempunyai tarian yang berbeza
macam macam macam, macammacammacam lah
so kat Malaysia ni macam-macam la tarian, so kat malaysia ni macammacam lah tarian
kalau dari segi muzik, kalau dari segi muzik
muzik, muzik
muzik [UNK] ah budaya mana yang kau suka, muizik budaya mana yang kau suka
Melayu ke India ke Cina ke, melayu ke india ke china ke
oh ya la perempuan kan, oh ni lepon poin ke
kalau daripada lagu kau suka lagu lagu daripada macam, kalau daripada lagu kau suka lagulagu daripada macam
lagu bangsa mana macam kalau lagu Melayu kan dia ada lenggok dia macam, lagu bangsa mana macam kalau lagu melayu kan ada lengkuk dia macam
macam ada macam lengguk lah, macam i think macam lengguk lah
ada macam best sikit lah kalau, ada macam best sikit lah kalau
India, india
ah so kau suka, asukau suku
lagu orang mana, lagu orang
budaya mana, budaya men
bangsa mana, abang cuman
hm, hmm
kau tau tak sebenarnya seni, kau tahu tak sebenarnya sini
dan seni persembahan tradisional Melayu muncul di rantau Kelantan Pattani, dan seni persembahan tradisional melayu muncul di rantau kelantan patani
dengan pengaruh dari India China dan Thailand, dengan pengaruh dari india china dan thailand
Thailand dan Indonesia, thailand dan indonesia
muzik berasaskan instrument berkerusi, musik berasaskan instrumen perkusi
ah yang paling penting ialah gendang, yang paling penting ialah gendang
ah so semua kaum dia, so semua kaum dia
dia ada gunakan gendang untuk, dia ada gunakan gendang untuk
ah buat muzik atau pun untuk menyanyi ke menari ke, buat muzik ataupun untuk menyanyi ke menari ke
so terdapat sekurang-ku-* sekurang-kurangnya empat belas jenis gendang tradisional, so terdapat sekurangkurangnya 14 jenis kendang tradisional
gendang dan alat perkusi tradisional yang lain sering dibuat dari bahan semulajadi seperti cangkang, gendang dan alat perkuri tradisional yang lain sering dibuat dari bahan semula jadi seperti cangkang
instrumen lain yang lain termasuk rebab, instrument lain termasuk rebak
serunai seruling dan sengkakala, serunai seruling dan sengkakala
muzik secara tradisinya digunakan untuk bercerita raikan acara kitaran ha-hayat, muzik secara tradisinya digunakan untuk bercerita meraihkan acara kitaran hayat
dan pada acara tahunan seperti musim menuai, dan pada acara tahunan seperti musim menuai
muzik pernah digunakan sebagai satu bentuk komunikasi jarak jauh, muzik pernah digunakan sebagai satu bentuk komunikasi jarak jauh
orkestra tradisional boleh dibahagikan antara dua bentuk gamelan yang memainkan melodi menggunakan gong, orkestra tradisional boleh dibahagikan antara dua bentuk gamelan yang memainkan melodi menggunakan gong
dan instrumen tali, dan instrumen tali
dan nobat yang menggunakan instrumen angin untuk membuat muzik yang lebih serius, dan obat yang menggunakan instrumen angin untuk membuat muzik yang lebih serius
kalau dekat Malaysia ni kat ah, kalau dekat malaysia ni kat
belah timur, belah timur
kumpulan, kumpulan
berkumpulan berasaskan gong seperti agong dan kulintang, perkumpulan berasaskan gong seperti agung dan kulintang
biasanya digunakan dalam upacara seperti pengebumian dan majlis perkahwinan, biasanya digunakan dalam upacara seperti pengebumian dan majlis perkahwinan
so, su
biasanya dekat, biasanya dekat
selatan Filipina Kalimantan, selatan filipina kalimantan
di Indonesia dan di Malaysia Brunei biasanya guna guna gong ni, di indonesia dan di malaysia brunei biasanya guna gong ni
kalau tengok persembahan aku tak pernah lah tapi kalau tengok muzium muzium tu pernah, kalau tengok persembahan pun tak pernah lah tapi kalau tengok muziummuzium tu pernah
kau pernah ke, kau pernah ke
oh lawatan sekolah pun ada eh, oh lewatkan sekolah pun ada ya
dekat muzium tu dia tunjuk apa dia pamerkan apa, di museum tu dia tunjuk apa je dia pamerkan apa
oh, oh
oh karya dia lah macam, oh karya dia lah macam
dia bagitahu sejarah asal [UNK] asal asal benda tu daripada mana macam mana dia buat eh macam tu, dia bagi tau sejarah asal asal benda tu daripada mana macam mana dia buat macam tu
oh, oh
hm hm, hmm
oh, oh
lama, ramu
hm ah kau tau tak best nya ah ada macam-macam budaya ni, kau tahu tak biasanya ada macammacam budaya ni
dekat Malaysia ni best sebab, dekat malaysia ni best sebab
kalau macam cuti kita [UNK], kalau macam cuti
kalau ada cuti perayaan Tahun Baru Cina ke ah, kalau ada cuti perayaan tamu original ke
cuti, cuti
Deepavali ke cuti, tiba balik ke citi
